Park Unit,Total Recreation Visits,Total Visitor Spending ($2022),Jobs,Economic Output ($2022)
El Morro NM,60501,"$4,319,000",56,"$4,672,000"
Eleanor Roosevelt NHS,19076,"$1,260,000",15,"$1,766,000"
Eugene O'Neill NHS,18754,"$1,238,000",13,"$1,736,000"
Everglades NP,1155193,"$124,649,000",1730,"$192,518,000"
Federal Hall NMEMc,40229,"$2,656,000",29,"$3,896,000"
Fire Island NS,393749,"$19,610,000",193,"$26,340,000"
First Ladies NHS,7146,"$472,000",7,"$726,000"
Flight 93 NMEM,346559,"$22,884,000",328,"$33,631,000"
Florissant Fossil Beds NM,67174,"$4,436,000",58,"$6,698,000"
Ford's Theatre NHS,319596,"$6,810,000",85,"$10,439,000"
"Fort Bowie NHSa,b",7913,"$334,000",4,"$357,000"
Fort Caroline NMEM,329363,"$21,748,000",312,"$31,761,000"
Fort Davis NHS,45401,"$2,998,000",38,"$3,222,000"
Fort Donelson NB,183638,"$13,365,000",158,"$17,895,000"
Fort Frederica NM,245214,"$16,192,000",226,"$22,534,000"
"Fort Laramie NHSa,b",39657,"$1,221,000",15,"$1,293,000"
Fort Larned NHSa,26219,"$1,811,000",24,"$2,040,000"
Fort Matanzas NM,698895,"$46,149,000",663,"$66,187,000"
Fort McHenry NM&SHRINE,223957,"$14,789,000",185,"$21,943,000"
Fort Necessity NB,258293,"$17,051,000",247,"$25,797,000"
Fort Point NHS,955454,"$63,090,000",672,"$88,442,000"
Fort Pulaski NM,471077,"$34,286,000",429,"$43,314,000"
Fort Raleigh NHS,287650,"$18,994,000",276,"$25,459,000"
Fort Scott NHSa,26854,"$550,000",7,"$575,000"
Fort Smith NHS,123229,"$8,137,000",119,"$10,683,000"
Fort Stanwix NMa,71716,"$4,487,000",50,"$5,649,000"
Fort Sumter NM,385472,"$25,453,000",330,"$33,177,000"
Fort Union NMa,7557,"$583,000",7,"$668,000"
Fort Union Trading Post NHSa,12822,"$1,178,000",12,"$1,122,000"
Fort Vancouver NHS,964318,"$63,675,000",873,"$97,441,000"
Fort Washington P,406917,"$26,869,000",325,"$39,380,000"
Fossil Butte NMa,17879,"$1,011,000",12,"$1,126,000"
Franklin Delano Roosevelt MEM,3291313,"$70,137,000",877,"$107,508,000"
Frederick Douglass NHSc,211,"$4,000",0,"$7,000"
Frederick Law Olmsted NHS,14148,"$935,000",12,"$1,423,000"
Fredericksburg & Spotsylvania NMP,756296,"$49,939,000",617,"$72,073,000"
Friendship Hill NHS,16395,"$1,083,000",16,"$1,627,000"
Gates Of The Arctic NP&PRESc,9457,"$15,611,000",219,"$23,361,000"
"Gateway Arch NPa,b",1618774,"$112,076,000",1781,"$196,236,000"
Gateway NRAa,8728291,"$259,269,000",2852,"$314,550,000"
Gauley River NRA,163510,"$8,112,000",104,"$9,444,000"
"General Grant NMEMa,b",132542,"$5,689,000",63,"$8,244,000"
George Rogers Clark NHP,123229,"$8,137,000",113,"$10,457,000"
George Washington Birthplace NMa,96234,"$4,976,000",59,"$6,927,000"
George Washington Carver NMa,29725,"$630,000",8,"$762,000"
George Washington MEM PKWY,7397120,"$54,544,000",831,"$87,497,000"
Gettysburg NMP,764576,"$55,648,000",668,"$80,017,000"
Gila Cliff Dwellings NM,43608,"$2,880,000",37,"$3,066,000"
